work_id	title	author	rating	category	fandom	relationship	character	additional tags	language	published	status	status date	words	chapters	comments	kudos	bookmarks	hits
30507297	The Price of Justice	['Rachello344']	Explicit	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid, Black Organization Member(s) (Meitantei Conan), Nakamori Aoko, Koizumi Akako	Demon Summoning, Magical Bond, Demon Deals, Top Kudou Shinichi | Edogawa Conan, Bottom Kuroba Kaito | Kaitou Kid, Demon!Shinichi, magic!kaito	English	2021-04-13	Completed	2022-05-04	4642	2/2	34	445	55	4045
36700870	Hummingbird Heartbeat	['speckled_dragon']	Teen And Up Audiences	Gen, M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan & Suzuki Sonoko, Haibara Ai | Miyano Shiho & Kudou Shinichi | Edogawa Conan, Kudou Shinichi | Edogawa Conan & Shounen Tantei-dan | Detective Boys	Kudou Shinichi | Edogawa Conan, Haibara Ai | Miyano Shiho, Kuroba Kaito | Kaitou Kid, Suzuki Sonoko, Shounen Tantei-dan | Detective Boys, Mouri Ran, Sera Masumi, Hakuba Saguru	Animal Caretaking, Hurt/Comfort, Mild Hurt/Comfort, Emotional Hurt/Comfort, Abandonment Issues, Coping Mechanisms, Alternate Universe - Canon Divergence, Kudou Shinichi | Edogawa Conan Needs a Hug, Minor Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid, Protective Kudou Shinichi | Edogawa Conan, Animal Adoption as a Coping Mechanism, Fluff, Happy Ending, Alternate Universe - Shinichi did not get Poisoned, Alternate Universe - Sera got Poisoned, Background Mouri Ran/Sera Masumi, Minor Mouri Ran/Sera Masumi, Kudou Shinichi-centric, Tooth-Rotting Fluff, Self-Indulgent, Slow Burn	English	2022-01-27	Completed	2022-05-04	20829	8/8	103	644	168	5801
38001883	Ashes Over The Sun	['Mockingbirdpersona']	Teen And Up Audiences	F/M, Gen, F/F	Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Hakuba Saguru/Kuroba Kaito | Kaitou Kid, Momoi Keiko/Nakamori Aoko	Hakuba Saguru, Baaya | Hakuba Saguru's Housekeeper, Kuroba Kaito | Kaitou Kid, Nakamori Aoko, Nakamori Ginzou, Kaitou KID Task Force (Meitantei Conan/Magic Kaito), Superintendent-General Hakuba (Meitantei Conan/Magic Kaito), Hakuba Saguru's Mother, Kuroba Toichi, Original Child Character(s), Momoi Keiko	Angst, Tragedy, Grief/Mourning, Aged-Up Character(s), Child Loss, Eventual Happy Ending, Alternate Universe, Alternate Universe - Always a Different Sex, Past Teen Pregnancy, Depression, Past Character Death, Falling In Love, Slow Burn, Autism, Autistic Hakuba Saguru, Minor Original Character(s)	English	2022-03-27	Updated	2022-05-04	4685	3/?	2	29	5	244
35990125	For You, a Thousand Years in the Future	['Naometry']	Mature	M/M	名探偵コナン | Detective Conan | Case Closed	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid, Mouri Ran, Mouri Kogorou, Haibara Ai | Miyano Shiho, Shounen Tantei-dan | Detective Boys, Hakuba Saguru	Alternate Universe - Canon Divergence, Introspection, Mental Health Issues, Coming of Age, kind of?, rated M FOR MURDER, Rating May Change, Light Angst, Emotional Hurt/Comfort, POV Alternating, Eventual Happy Ending	English	2021-12-27	Updated	2022-05-04	17156	4/?	18	99	21	1159
38777166	The End of a Story	['bentofaxmachine']	Teen And Up Audiences	Gen, M/M	名探偵コナン | Detective Conan | Case Closed	Hattori Heiji & Kudou Shinichi | Edogawa Conan, Hattori Heiji/Kudou Shinichi | Edogawa Conan	Hattori Heiji, Kudou Shinichi | Edogawa Conan	Angst, Future Fic	English	2022-05-04	Completed	2022-05-04	1904	1/1	4	31	3	204
38773575	Fix You	['RedSarling']	Teen And Up Audiences	F/M	名探偵コナン | Detective Conan | Case Closed	Akai Shuuichi | Okiya Subaru/Jodie Starling	Akai Shuuichi | Okiya Subaru, Jodie Starling, Andre Camel	RedStarling, that's all you need to know	English	2022-05-03	Completed	2022-05-03	4449	1/1	1	15	1	122
21943714	Broken Feathers	['DocAlu']	Mature	F/M	名探偵コナン | Detective Conan | Case Closed	Gin/Haibara Ai | Miyano Shiho, Gin/Sherry	Gin (Meitantei Conan), Haibara Ai | Miyano Shiho, Shounen Tantei-dan | Detective Boys, Agasa Hiroshi, Black Organization Member(s) (Meitantei Conan)	Hurt/Comfort, Fluff, Amnesia, NSFW, Tags May Change, Drama, Blood and Injury, The Author Regrets Nothing, Nothing too explicit, from fun to drama in 5 chapters	English	2019-12-24	Updated	2022-05-03	118166	20/?	124	177	9	4712
38762979	the man behind the rumors and myth	['tangentiallly']	General Audiences	Gen	名探偵コナン | Detective Conan | Case Closed		Date Wataru, Amuro Tooru | Furuya Rei, Takagi Wataru, Kudou Shinichi | Edogawa Conan	Mentions of Canonical Character Deaths	English	2022-05-03	Completed	2022-05-03	852	1/1	2	25	2	216
37713634	A World Red with Sin and Sorrow	['tsukuy0mi47']	Teen And Up Audiences	F/M, Gen	名探偵コナン | Detective Conan | Case Closed, Magic Kaito		Akai Shuuichi | Okiya Subaru, Koizumi Akako	Fortune Telling, Seduction, Chance Meetings, Past Relationship(s), Dark Past, Memories, Spiritual, Getting to Know Each Other, Flirting, Mythology References, References to Ancient Greek Religion & Lore, Tarot, Other Additional Tags to Be Added, Tags May Change, Other Ships Not Mentioned in Tags, Complete, Friendship	English	2022-03-13	Completed	2022-05-03	13879	2/2	2	28	1	100
35147086	Doujinshi: Heisukes Story	['ElfSedan']	Teen And Up Audiences	F/M	名探偵コナン | Detective Conan | Case Closed	Hattori Heiji/Tooyama Kazuha, Hattori Heiji & Tooyama Kazuha, Kudou Shinichi | Edogawa Conan/Mouri Ran, Kudou Shinichi | Edogawa Conan & Mouri Ran	Hattori Heiji, Tooyama Kazuha, Kudou Shinichi | Edogawa Conan, Mouri Ran, Original Child Character(s), Hattori Heizou	Future Fic, Future	English	2021-11-15	Updated	2022-05-03	0	6/21	34	38	2	413
38759445	Beaches and Bargains	['Alshoruzen']	Explicit	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan	Post-Conan Kudou Shinichi, Established Relationship, Romance, Humor, Beaches, Bargaining, Fluff and Smut	English	2022-05-03	Completed	2022-05-03	5525	1/1	2	97	10	887
